"N0","class","proc","category","area","ITEMS","VOLUME","","SPEK","UNIT PRICE","TOTAL PRICE","UNIT PRICE","TOTAL PRICE","d","%"
"0","","","","","PEKERJAAN PERANCANGAN","","","","","","","","",""
"0.1","","","","","PEKERJAAN PERANCANGAN","","","","","","","","","0.00%"
"1","PR","M","","","Jasa Desain dan Perencanaan Konstruksi","1.00","ls","","","0","","","","0.00%"
"SubTotal Pekerjaan Perancangan","","","","","","","","","","0","","0","","0.00%"
"1","","","","","PEKERJAAN UMUM","","","","","","","","",""
"1.1","","","","","PEKERJAAN PERSIAPAN","","","","","","","","","6.27%"
"1","pr","M","","0","Pengawasan dan Koordinasi","4.00","bln",""," Rp 2,920,000 "," Rp 11,680,000 ","0","0"," Rp 11,680,000.00 ","0.42%"
"2","pr","M","","0","Direksi Keet","4.00","bln",""," Rp 7,300,000 "," Rp 29,200,000 "," Rp 4,800,000.00 "," Rp 19,200,000.00 "," Rp 10,000,000.00 ","1.04%"
"3","pr","M","","0","Mobilisasi Pekerja","2.00","ls",""," Rp 1,460,000 "," Rp 2,920,000 ","0","0"," Rp 2,920,000.00 ","0.10%"
"4","pr","M","","0","Mobilisasi Peralatan Kerja","2.00","ls",""," Rp 1,022,000 "," Rp 2,044,000 ","0","0"," Rp 2,044,000.00 ","0.07%"
"5","pr","M","","0","Akomodasi Pekerja","4.00","bln",""," Rp 4,380,000 "," Rp 17,520,000 "," Rp 2,500,000.00 "," Rp 10,000,000.00 "," Rp 7,520,000.00 ","0.62%"
"6","pr","M","","0","Storage Peralatan dan Perlengkapan","1.00","ls",""," Rp 2,190,000 "," Rp 2,190,000 ","0","0"," Rp 2,190,000.00 ","0.08%"
"7","sf","M","","0","Proteksi Jalur Loading Material","50.00","m'",""," Rp 146,000 "," Rp 7,300,000 ","0","0"," Rp 7,300,000.00 ","0.26%"
